gene_name,fit_type,R2,R2_linear,coeff_0,coeff_1,coeff_2
Far2,quadratic,1.0,0.4035341981856172,-0.0002102018332417583,0.0008980126013736247,0.06274479999999999
Aplp2,quadratic,1.0,0.002666906232966393,0.00026566358769230776,0.0007295671753846161,0.00039304439999999347
Ntng2,quadratic,1.0,0.6541822791351722,-0.0002164593525641028,-0.002894648955128206,0.09210901000000002
Sulf2,quadratic,1.0,0.7356048299665034,-8.961421703296713e-05,0.0009911007445054941,0.04673442000000001
Ipo4,quadratic,1.0,0.003770608816365595,-0.00021926886721611736,-0.00040283534157509247,0.06305495000000001
Cblb,linear,0.9986844182845098,0.9986844182845098,-0.0024114293459252963,0.032744345602716454,
Pi4ka,quadratic,1.0,0.03480075842550956,-0.00020606672307692332,-0.0001662314461538478,0.062349875000000034
Cmas,quadratic,1.0,0.00012220825191122664,-0.0006603073959706965,-0.00148061800622711,0.16972110000000007
Map4,linear,0.9869045143633554,0.9869045143633554,0.0013802578073005087,0.035173732538200324,
Pikfyve,quadratic,1.0,0.09701522346845481,-0.00029856165824175833,-0.0014816046736263737,0.07507747999999997
Zfp354c,quadratic,1.0,0.0030925331309813453,-0.0007858390266117219,-0.001480470092509161,0.15881553000000004
Gria3,quadratic,1.0,0.46974970688515694,-0.0004877551778388283,-0.004822544334249087,0.14924337000000004
Pcyox1,quadratic,1.0,0.009768829666490286,-0.001188194012820514,-0.003717195525641031,0.3053968300000002
Mdn1,quadratic,1.0,0.005628621148123125,-0.001069100903113554,-0.0031378822133699674,0.2268666500000001
Epc1,quadratic,1.0,0.3742764316137409,-0.00015816591501831512,-0.0013507282586080588,0.062074392999999985
Tbc1d24,linear,0.9948516548451474,0.9948516548451474,-0.002223756839219015,0.03493891457385397,
Rusc1,quadratic,1.0,0.04085656272040461,-0.00031319414212454226,-0.00021114499853480012,0.07559255000000002
Klhl22,quadratic,1.0,0.021002313223080327,-0.0002446652124542127,-0.00028264285347985444,0.06605033000000003
Mib1,quadratic,1.0,0.7115120752334078,-8.659158003663005e-05,0.0008898682327838814,0.06085331
Ubl3,quadratic,1.0,0.0018869962773131466,-0.00044312048882783934,-0.00087826779908425,0.11566796000000006
Fam65a,quadratic,1.0,0.7444348873581127,0.00023418208974358977,0.0037545586794871795,0.005534358999999986
Oxct1,quadratic,1.0,0.09168845553019533,-0.00025123128058608093,-0.001226436275457876,0.06664813000000003
Ptprj,linear,0.9829229706268284,0.9829229706268284,0.0016258332308998302,0.034823081487266545,
Dmxl1,quadratic,1.0,0.07968651527192538,-0.0003197147163003666,9.980388827838255e-06,0.08969934000000002
Baz2a,quadratic,1.0,0.752484806529576,-6.626308095238111e-05,-0.0010819929476190478,0.04321809500000001
Usp34,quadratic,1.0,0.006559980789440201,-0.00047876562955311366,-0.0008037076619633716,0.09601351600000001
Pak2,quadratic,1.0,0.015695468375185873,-0.0003492037701465205,-0.0011680232188644689,0.07965236000000002
Setx,quadratic,1.0,0.030907643273148655,-0.00027361974285714305,-0.001030115342857143,0.06921878000000001
Atp13a2,quadratic,1.0,0.07284081775335571,-0.00013628226208791216,-1.1023131318682214e-05,0.05154282000000001
Elovl6,quadratic,1.0,0.014332835348320971,-0.00041767060604395626,-0.0005692828906593422,0.11785552000000003
Telo2,quadratic,1.0,0.10824340638235919,-0.00015485875934065948,-0.0007941195901098907,0.053639494000000024
Sema6d,quadratic,1.0,0.2914780982260148,-0.0001990888144322345,0.0005610453568498168,0.060046013
Fem1b,linear,0.9795238129516548,0.9795238129516548,0.0001982814966044146,0.0387301203310696,
Ttll5,quadratic,1.0,8.585667746752179e-07,-0.0019139965358974372,-0.004447421571794876,0.41855934000000006
Zdhhc21,linear,0.978315067852243,0.978315067852243,-0.0011757155382003397,0.03271586697453309,
Prpf38b,quadratic,1.0,0.15121416797669374,7.779707289377289e-05,0.00044496436007326006,0.030065294000000003
Atf2,quadratic,1.0,0.15601619883013973,-0.00019895328168498193,-0.001150489491941393,0.06175558600000003
Uggt1,quadratic,1.0,0.9150693597494685,8.885166739926734e-05,-0.002134241522344323,0.02383453200000002
Fam208b,linear,0.9865661972761788,0.9865661972761788,0.0015652470662139211,0.0345399620441426,
Fgfr1,quadratic,1.0,0.047630977716607625,-0.0012064804435897437,-0.0006463303871794908,0.29061982
Rb1cc1,quadratic,1.0,0.35429511116200474,0.00011137189450549454,-0.00040267578241758267,0.02053543200000001
Zfp106,quadratic,1.0,0.6412346415943472,-0.00012408559816849826,0.0010425281608058604,0.051443774000000005
Gramd1b,quadratic,1.0,0.0027239650250786562,-9.737886538461549e-05,-0.00018613998076923122,0.04594928000000001
Metap1,linear,0.9998415222957633,0.9998415222957633,-0.0016210840925297114,0.03672624027164684,
Mapk8,quadratic,1.0,0.06091850687204203,-0.0003889617617216121,-0.0017020095591575106,0.11824451000000004
Gtf3c2,quadratic,1.0,0.4237203506869215,-0.00021513277069597103,-0.001982429827106229,0.08491295600000004
Bri3bp,linear,0.9910482293842864,0.9910482293842864,-0.003124556819185059,0.05587053112054326,
Ctdsp2,quadratic,1.0,0.10159770015316805,-0.0005856943399267402,0.00021590103443223279,0.14445303000000004
Zfp148,quadratic,1.0,0.025122591717842813,-0.0003784727282051286,-0.0003944934564102589,0.08415895000000005
Kidins220,quadratic,1.0,0.6274512252746978,0.00011754866483516487,-0.0009506700274725279,0.023441990000000003
Tpr,quadratic,1.0,0.8999815132597958,-6.797832710622719e-05,-0.0017954864399267402,0.04375187
Amfr,quadratic,1.0,0.08116216514274,-0.0010678425650183156,5.862719139193818e-05,0.24917583000000004
Usp24,quadratic,1.0,0.015795811618930178,-0.0003250014252747256,-0.00042706277912087987,0.08137490000000003
Zfp91,quadratic,1.0,0.05909175252790566,-0.00040821847421245437,-0.00013030721985348096,0.0927409
Tcaf1,quadratic,1.0,0.024282885772454743,-0.00020467654688644712,-0.0007363327366300377,0.07871584000000002
Actg1,quadratic,1.0,0.058310260522588364,-0.0016387709007326023,-0.0005463444443223435,0.3784333000000001
Cr1l,quadratic,1.0,0.013503222549303029,-0.0011955100450549456,-0.003909693875824178,0.2600642
