gene_name,slope_divergence_E15,slope_divergence_P0,slope_divergence_P13,predicted_divergence_P3,predicted_divergence_P7,fit_type,R2,R2_linear,CI_lower_P3,CI_upper_P3,CI_lower_P7,CI_upper_P7,rank_score_P3,rank_score_P7
Reps2,0.24039386,0.20488071,0.10598668,0.1876729640659341,0.15948961307692308,quadratic,1.0,0.9086588867831172,0.187672964065934,0.18767296406593423,0.15948961307692294,0.1594896130769232,0.1876729640659341,0.15948961307692308
Etl4,0.44118536,0.37660834,0.05451547,0.32421268752747257,0.23388057761538458,quadratic,1.0,0.84235566961299,0.3242126875274724,0.324212687527473,0.23388057761538433,0.23388057761538494,0.32421268752747257,0.23388057761538458
Faah,0.19296859,0.3320969,0.016228037,0.2951749699395606,0.21237290434615397,quadratic,1.0,0.27411420295707434,0.29517496993956044,0.2951749699395609,0.21237290434615372,0.21237290434615413,0.2951749699395606,0.21237290434615397
Zfp365,0.4333613,0.035971824,0.06421695,0.011777072428571431,0.008182737400000008,quadratic,1.0,0.7302502051295594,0.011777072428571421,0.011777072428571449,0.008182737399999997,0.008182737400000036,0.011777072428571431,0.008182737400000008
Shisa9,0.24328347,0.26169395,0.037015367,0.22967754614835173,0.16847867442307696,quadratic,1.0,0.6446263847652709,0.2296775461483517,0.22967754614835206,0.16847867442307685,0.16847867442307715,0.22967754614835173,0.16847867442307696
Pclo,0.17228913,0.4262994,0.010503292,0.3827589527142857,0.27578668900000003,quadratic,1.0,0.12083114265851602,0.3827589527142857,0.3827589527142861,0.27578668900000003,0.2757866890000002,0.3827589527142857,0.27578668900000003
Zfhx2,0.06947577,0.51826686,0.038638525,0.4791697123351648,0.36022628880769225,quadratic,1.0,0.0002640519360757043,0.4791697123351648,0.47916971233516514,0.3602262888076922,0.3602262888076926,0.4791697123351648,0.36022628880769225
Slc12a5,0.08255254,0.44932097,0.005238543,0.40963835495054945,0.29811678619230764,quadratic,1.0,0.014920761832444507,0.40963835495054945,0.4096383549505498,0.29811678619230764,0.29811678619230797,0.40963835495054945,0.29811678619230764
Scn1a,0.09071429,0.4679877,0.003379527,0.42601041241208804,0.3091500447307693,quadratic,1.0,0.018534567770148058,0.4260104124120879,0.4260104124120883,0.30915004473076907,0.30915004473076946,0.42601041241208804,0.3091500447307693
Dlgap1,0.1637026,0.30773264,0.04723534,0.27937529615384626,0.21192524784615388,quadratic,1.0,0.16729013928158432,0.27937529615384593,0.2793752961538464,0.21192524784615355,0.2119252478461539,0.27937529615384626,0.21192524784615388
