gene_name,slope_MIA,slope_saline,slope_divergence,R2_MIA,R2_saline,R2_divergence
1600002K03Rik,0.002180713526795893,-0.0170334942936005,0.019214207820396394,0.011320010475100117,0.7491021812917691,
1600010M07Rik,-0.0011059942627285031,-0.0006034446719872334,-0.0005025495907412697,0.14398199046790006,0.5203817636541688,
1600012H06Rik,0.001972179740825765,-0.0017511339597301135,0.0037233137005558787,0.08884189981025359,0.1571704821456692,
1600014C10Rik,0.03058612083018198,0.012087034566266844,0.018499086263915138,0.5079592765492866,0.985496891639699,
1600014C23Rik,-0.005159141630806031,0.0003019340925127502,-0.005461075723318781,0.1574403122313075,0.1014187860144532,
1600014K23Rik,-0.0004102272559365961,-0.00015528942491024894,-0.0002549378310263472,0.12297329742716612,0.21956803822705895,
1600015I10Rik,0.0003433545236382569,0.0009295539272031248,-0.0005861994035648679,0.08632736788646811,0.7287526606636057,
1600016N20Rik,-0.09198434377923854,-0.08220475791147823,-0.009779585867760315,0.5249220331773314,0.8256326269146471,
1600019K03Rik,0.0,0.0,0.0,1.0,1.0,
1600020E01Rik,0.03162226358401063,0.025671860867843583,0.005950402716167046,0.5213996642335894,0.4504418736352507,
1600023N17Rik,0.011337885613133578,0.011634889151929454,-0.0002970035387958765,0.26068269027471913,0.46747016795249485,
1600025M17Rik,-0.0009215824577106784,0.0,-0.0009215824577106784,0.2677595628415299,1.0,
1600027J07Rik,-0.0011253744849822256,2.0714051905619223e-05,-0.0011460885368878447,0.491250908037589,0.000869146889288297,
1600029I14Rik,0.006722560529269521,0.0018696524278541914,0.00485290810141533,0.949937618910953,0.16988497347966514,
1600029O15Rik,-0.020569777734326493,-0.020019786034862073,-0.0005499916994644201,0.5047972094696869,0.3925749548951245,
1700001C02Rik,0.02238626862268777,0.01742927815806752,0.00495699046462025,0.83087341477972,0.9206907944569175,
1700001C19Rik,7.571989720445736e-05,0.0009548695835626819,-0.0008791496863582246,3.7123768770630505e-05,0.02285790882677896,
1700001D01Rik,3.1454490812788856e-05,-2.21572511393394e-05,5.361174195212826e-05,0.008100828861196785,0.005464480874316946,
