stream1_rank,gene_name,slope_MIA,slope_saline,slope_divergence,R2_MIA,R2_saline,R2_divergence,log2FC_E12.5,log2FC_E14.5,log2FC_E17.5,log2FC_P0,max_abs_log2FC,stream1_score
72,Tcf7l2,-0.1430198158536304,-0.1774733722012456,0.0344535563476151,0.7086958383273905,0.7269427568493559,,-0.9337270462682948,0.0909784426434294,-0.0672162160511419,0.2267523136156723,0.9337270462682948,0.032170217401896906
73,Ercc6l,-0.1130573305199852,-0.1436671299193015,0.0306097993993163,0.7165399999245656,0.9441970803432224,,-0.4125521652684427,-0.5489596412831845,-1.048028676998737,0.1077460631057055,1.048028676998737,0.0320799475676622
74,Smc4,-0.101233694255184,-0.1236351064317775,0.0224014121765934,0.5156347281577967,0.9307909187331443,,-0.138409201893476,-0.4623664952811323,-1.4304647059952291,0.09254667301597,1.4304647059952291,0.03204442948306862
75,Cenpi,-0.0859490590139062,-0.116629400914152,0.0306803419002458,0.639281157763499,0.9770145446047076,,-0.2955864976915849,-0.2244879296649742,-1.0433655370054375,0.2973157186440496,1.0433655370054375,0.032010811402260385
76,Bub1,-0.133649129833848,-0.1547786478671029,0.0211295180332548,0.622724061609419,0.9628065884925276,,0.0138651199739611,-0.4877159172712754,-1.511314618621523,0.1327410112630627,1.511314618621523,0.03193334948808507
77,Agt,0.0927545448228154,0.1123343631087384,-0.019579818285923,0.7278536365899266,0.9425516787878168,,0.0818774566317652,0.1153283735483798,1.6153156480476123,-0.1849408170527256,1.6153156480476123,0.0316275868631802
78,Aurka,-0.128457861836154,-0.1501751509392959,0.0217172891031418,0.7199735331217767,0.9662661250335746,,-0.2365446272444518,-0.4911033164301133,-1.450331019505323,0.0132300642940583,1.450331019505323,0.03149725804585149
79,Cenpk,-0.0494243540609955,-0.0838524146709688,0.0344280606099732,0.3646020544114072,0.8195411549713871,,-0.49947871345673,-0.6295079224159017,-0.9142169540178312,0.11779651017937,0.9142169540178312,0.03147471670359098
80,Ddn,0.1756540200087748,0.199309212075648,-0.0236551920668731,0.6098788864887994,0.8582328129579858,,-0.0718649487694144,0.2523465578053546,1.3244152280957846,-0.320168415433038,1.3244152280957846,0.03132929659689733
81,Birc5,-0.1288612320899295,-0.1507103145736579,0.0218490824837284,0.6194164318649695,0.9477517475778215,,-0.078812559044577,-0.5129984655097657,-1.430725072639171,0.0939262081420394,1.430725072639171,0.03126003012363155
82,Ppp1r14a,-0.0876315888861979,-0.1161252511543278,0.0284936622681299,0.7169315451411953,0.9761367283558384,,-0.1781321012933077,-0.4011027153913973,-1.0948317947208104,0.2442640507847173,1.0948317947208104,0.031195767399185295
83,Kif14,-0.115322510455153,-0.1376905682623723,0.0223680578072192,0.6081395094738196,0.9760189907108658,,0.0750187772076865,-0.2319378553347933,-1.393931747455283,0.2982286744342811,1.393931747455283,0.03117954590639785
84,Lect1,-0.0486685022610024,-0.0197596075043165,-0.0289088947566858,0.4835516260460621,0.4668781691492923,,1.0759070305178449,0.2172719360270579,-0.0873793686097236,0.0690769176378482,1.0759070305178449,0.03110328311321871
85,A330023F24Rik,0.129083242940914,0.0967165683000536,0.0323666746408603,0.6901777149162523,0.7578001190101871,,-0.0554786703552333,0.7771677039341512,0.4128124262654549,0.958117642725488,0.958117642725488,0.031011082009763904
86,Nusap1,-0.1269913999008961,-0.146436220038003,0.0194448201371069,0.6273974745053902,0.9683800043937568,,-0.1023438951630145,-0.6132906822118124,-1.5943685357147577,-0.0187338593281385,1.5943685357147577,0.031002209409235964
87,Nnmt,0.0474580047178929,0.0732332207668328,-0.0257752160489398,0.4474077464204643,0.9323381465811472,,0.229932432931741,0.1490212366768298,1.202078804983608,-0.2498680813170379,1.202078804983608,0.030983840906303867
88,Ube2c,-0.1659962376344752,-0.1843657976568294,0.0183695600223541,0.7332351838180082,0.9640839722457456,,0.0320751705559023,-0.6349830415935012,-1.6859211582600655,0.0164227702821304,1.6859211582600655,0.03096962990961502
89,Melk,-0.1312734555611432,-0.1512128324821404,0.0199393769209972,0.6539756087487583,0.9739622547088046,,-0.041996258376916,-0.5300002534944424,-1.552387442935353,0.0590689259986144,1.552387442935353,0.030953638352111037
90,Ect2,-0.1378892889780307,-0.1573597787467938,0.019470489768763,0.6972436552333455,0.9875580924131868,,-0.0202582753883233,-0.5986729118823727,-1.5727942930556662,0.0332691832974394,1.5727942930556662,0.030623075191309187
91,Sgol2,-0.1059472750405945,-0.1281943335100146,0.0222470584694201,0.5632996867220541,0.93486550775627,,-0.2367270547832591,-0.3956028181335853,-1.3729610888402517,0.0665732589899586,1.3729610888402517,0.030544345619667766
92,Htr1a,0.0980820604517438,0.1216177904412796,-0.0235357299895358,0.474848220436321,0.9088732374824904,,-0.0260768085076389,0.3243414701823016,1.2889800127241244,-0.2681225775281192,1.2889800127241244,0.03033708554138341
93,Ska1,-0.116656384188557,-0.1385825000022166,0.0219261158136595,0.6054881074983445,0.9417347898643648,,-0.1978574917087593,-0.4396749294075534,-1.3781009189478035,0.0636389097509505,1.3781009189478035,0.030216400351760125
94,Kcns1,0.1036932092345185,0.1237716156162314,-0.0200784063817129,0.6415046741364037,0.9752073857163468,,0.4397230070785834,0.2472460293339825,1.4998956107204682,0.0394786644722936,1.4998956107204682,0.030115513602193018
95,Gm5415,0.0573933996573887,0.0253994949273779,0.0319939047300107,0.6197287689466089,0.7976725282948474,,0.0902866025144425,0.6221123123152367,0.0063898543121899,0.938136197018949,0.938136197018949,0.030014640111198802
96,Nuf2,-0.1107176855200407,-0.1333602364781886,0.0226425509581478,0.6566106980669086,0.9733762148478576,,-0.1499377514603913,-0.4710206274327318,-1.3238409298279703,0.0961095259383102,1.3238409298279703,0.029975135714111586
97,Cenpe,-0.1220671637471962,-0.1414623592361485,0.0193951954889523,0.518534235626327,0.9171528614821716,,-0.0707923389165999,-0.2569045089339437,-1.545312876803138,0.1380927450749952,1.545312876803138,0.02997164533719212
98,Crlf1,0.1527060318155129,0.1688993975019197,-0.0161933656864068,0.5481111110341099,0.9097281559209308,,0.0731668814836283,0.4459039583971786,1.8477518681294307,0.0241675121994591,1.8477518681294307,0.029921321698361186
99,Aqp4,0.1824754144900041,0.1987670088860559,-0.0162915943960517,0.8901319751685515,0.9885916549036394,,0.0910673367627343,0.4727273288317269,1.8359689423621828,0.0412216228250287,1.8359689423621828,0.029910861332712705
100,Tnc,0.0817492645108979,0.1158345167585418,-0.0340852522476439,0.4936898167220463,0.7344930919536005,,0.3852978397174075,0.8725725934627117,0.3301234232805305,-0.123760384143229,0.8725725934627117,0.02974185695255736
101,Mki67,-0.135900210283517,-0.1529567946471698,0.0170565843636527,0.5471137746035292,0.9423293975237804,,-0.2184514992098705,-0.0196078387571551,-1.7432639324325705,0.0871307438469762,1.7432639324325705,0.029734128331649103
102,E130114P18Rik,-0.0705999750689016,-0.0972130226877284,0.0266130476188267,0.6090578616197926,0.9527401722781976,,-0.2704019536045597,-0.5659971653475363,-1.114795498247015,0.0914308202556493,1.114795498247015,0.029668105680101444
103,Gpr17,0.1346585952434518,0.1590618916799978,-0.024403296436546,0.7453926273201685,0.9454818643931626,,0.4725148821567635,0.4410176235387781,1.2136179581215016,0.0218090808922312,1.2136179581215016,0.02961627879275467
104,Ung,-0.0857601844271643,-0.116162457448534,0.0304022730213696,0.6710883733836015,0.9045583094401654,,-0.4116221683497965,-0.5751926120012604,-0.9729712640076524,0.0997162812799495,0.9729712640076524,0.02958053801030773
105,Shox2,-0.0897854918305418,-0.1208676322319289,0.0310821404013871,0.6423649322112153,0.5483782238720888,,-0.9482007498391364,-0.0221676114796928,0.2451637467867675,0.1310011966984202,0.9482007498391364,0.029472108835200562
106,Cep55,-0.1330772734457096,-0.1527554124708472,0.0196781390251376,0.6800368197060966,0.9877643588126626,,0.0710021511313804,-0.3988268811450133,-1.490856751396061,0.1697932466879339,1.490856751396061,0.029337286420536696
