combined_rank,gene_name,rank_s1,stream1_score,rank_s2,stream2_score,combined_score,evidence
132,Prc1,68.0,0.0324363080785901,201.0,,0.009840503365525315,canales_only
133,Wee1,69.0,0.0324028781868031,201.0,,0.00973393900064893,canales_only
134,Olfr648,201.0,,69.0,0.5467006604033255,0.00973393900064893,kalish_only
135,Fcgrt,201.0,,70.0,0.5459553735372324,0.009630419331911869,kalish_only
136,Exo1,70.0,0.0322322481225044,201.0,,0.009630419331911869,canales_only
137,Col6a2,201.0,,71.0,0.5437596550971768,0.009529815710181487,kalish_only
138,Spag5,71.0,0.0321906729255632,201.0,,0.009529815710181487,canales_only
139,Lin54,201.0,,72.0,0.5414437288825488,0.00943200663349917,kalish_only
140,Foxa1,109.0,0.029120669140254,105.0,0.4987637258387614,0.009349060725207515,both_streams
141,Cyp1b1,201.0,,73.0,0.541279400967036,0.009336877257547876,kalish_only
142,Ercc6l,73.0,0.0320799475676622,201.0,,0.009336877257547876,canales_only
143,Apod,136.0,0.0269891989776783,89.0,0.5097160737442631,0.009294448116325182,both_streams
144,Smc4,74.0,0.0320444294830686,201.0,,0.009244318945811483,canales_only
145,Foxc2,201.0,,74.0,0.540609188416051,0.009244318945811483,kalish_only
146,Cenpi,75.0,0.0320108114022603,201.0,,0.009154228855721393,canales_only
147,Spp1,201.0,,75.0,0.5386002287034534,0.009154228855721393,kalish_only
148,Gbx2,201.0,,76.0,0.537745497887352,0.009066509557475778,kalish_only
149,Bub1,76.0,0.031933349488085,201.0,,0.009066509557475778,canales_only
150,Agt,77.0,0.0316275868631802,201.0,,0.008981068682561221,canales_only
151,Anxa2,201.0,,77.0,0.5376862992886609,0.008981068682561221,kalish_only
152,Aurka,78.0,0.0314972580458514,201.0,,0.008897818599311137,canales_only
153,E030030I06Rik,201.0,,78.0,0.5371570501787148,0.008897818599311137,kalish_only
154,Cenpk,79.0,0.0314747167035909,201.0,,0.00881667611310536,canales_only
155,Lpar1,201.0,,79.0,0.5357174957610756,0.00881667611310536,kalish_only
156,Aebp1,201.0,,80.0,0.5355577346170589,0.008737562189054728,kalish_only
157,Ddn,80.0,0.0313292965968973,201.0,,0.008737562189054728,canales_only
158,Fcer1g,201.0,,81.0,0.5337568260069998,0.008660401695227565,kalish_only
159,Birc5,81.0,0.0312600301236315,201.0,,0.008660401695227565,canales_only
160,Ppp1r14a,82.0,0.0311957673991852,201.0,,0.008585123164664483,canales_only
161,Pcdhga12,201.0,,82.0,0.5332841239525091,0.008585123164664483,kalish_only
162,Kif14,83.0,0.0311795459063978,201.0,,0.008511658574596896,canales_only
163,Gm21750,201.0,,83.0,0.5309430974115613,0.008511658574596896,kalish_only
164,Olig1,201.0,,84.0,0.5264640464421313,0.008439943141435678,kalish_only
165,Lect1,84.0,0.0311032831132187,201.0,,0.008439943141435678,canales_only
166,A330023F24Rik,85.0,0.0310110820097639,201.0,,0.008369915130231196,canales_only
