gene_name,log2FC_E12.5,log2FC_E14.5,log2FC_E17.5,log2FC_P0
1700017G19Rik,0.018883028173684608,0.026836895379614596,-0.030667014956875297,0.0001347429455760113
1700017J07Rik,0.0,0.0035452268853347134,0.011908698030692496,0.03441592398290303
1700017N19Rik,-0.004967411283657752,-0.0003944806439811443,0.00528261351848988,0.006948582810655779
1700018A04Rik,0.09602046731324622,0.005598006486242817,-0.14909392036884467,0.05297550495978822
1700018B08Rik,0.11900697863249037,0.002163618837218211,-0.0006934807168099264,0.048862435017739264
1700018B24Rik,0.0,-0.004993509030571702,0.06240255015911501,-0.015612076797483328
1700018C11Rik,-0.0051758184688815035,0.02160926093629152,0.005984010703857637,0.01878016056448911
1700018F24Rik,0.0,0.004124723149294219,0.006134731780783568,0.005234815933794436
1700018G05Rik,0.020053896483761564,0.0007814486440091107,-0.002950206171805241,-0.042727238658837756
1700018L02Rik,0.06962161019461152,0.07805091067576606,-0.2213680366222243,-0.03705333871203447
1700019A02Rik,0.04700172649164611,0.014253711021766128,-0.010765118376008695,0.03003075907186865
1700019B03Rik,-0.035112609607296,0.04983505168797689,0.0003042238705854393,0.0010819877280862388
1700019B21Rik,-0.004848994124011566,0.0,0.0,0.0
1700019D03Rik,0.14982000353170444,0.06514355084204716,0.6231051512097078,-0.09324034673338384
1700019E08Rik,0.0,0.0,0.0,0.0
1700019G17Rik,-0.02999144783409207,-0.05911530995310034,0.09685231813624404,0.01983638162627457
1700019G24Rik,-0.009931710187678912,0.014424150664822648,0.0866820993443495,-0.01863085536805702
1700019L03Rik,0.005107636074532356,0.22125872410453995,0.06707092704884077,0.15004185848518622
1700019M22Rik,0.0,0.0,0.0,0.0
1700019N19Rik,-0.010268126319676708,-0.005232311569415458,0.03116935776596979,-0.023215808651886004
1700019O17Rik,0.03620296970484266,0.014070756460372,-0.022761739478768743,0.0014399593172416765
1700020A23Rik,0.171061239862195,0.24096869453785502,0.061753038369189384,0.17080783595018245
1700020D05Rik,0.2487126974900611,0.23157402913841635,-0.0546627176974526,0.3003694919925231
1700020G17Rik,0.0,0.009573233918152742,-0.0065226454318745705,0.003160743954072131
1700020I14Rik,-0.15705985951364815,-0.25066969990264787,0.25397853937723397,-0.31170264133459197
