rank,gene_name,perturbation_E15,perturbation_P0,perturbation_P13,mean_perturbation,transferability,rank_score,prior_dev_slope_ef,prior_dev_slope_wc,prior_direction_concordance,prior_stability,prior_baseline_expr
96,Chdh,0.30589727,0.44529384,0.02123353,0.2574749,0.9685876,0.249387,0.6315968,0.55437684,1.0,0.6495097,0.08248689
97,Gm21093,0.26354143,0.5624906,0.027967593,0.28466654,0.87524414,0.24915272,0.64045805,0.5724342,1.0,0.83209634,0.20664579
98,Rps27,0.15573199,0.49881428,0.094168074,0.24957144,0.99630153,0.2486484,0.32230768,0.44269198,1.0,0.50469047,0.5285611
99,Gm1043,0.17134365,0.7470086,0.0035476582,0.30729997,0.8084784,0.24844539,0.56970376,0.4840215,1.0,0.84403116,0.26037204
100,Xlr3b,0.097066924,0.31138107,0.38048947,0.26297915,0.94426227,0.2483213,0.49948654,0.4436937,1.0,0.83220756,0.18665521
101,Pigz,0.30056575,0.46320853,0.024572473,0.26278225,0.9436263,0.24796824,0.6291095,0.64231676,1.0,0.77970785,0.10402675
102,Aim1,0.25385186,0.41995734,0.17690271,0.28357062,0.8726973,0.24747132,0.5691779,0.5158908,1.0,0.86642957,0.017726166
103,Grid2,0.22433797,0.490673,0.03105967,0.24869023,0.99476004,0.24738711,0.7337608,0.58195776,1.0,0.34810442,0.22304969
104,Pex5l,0.3292958,0.37943247,0.039741598,0.24948996,0.9906408,0.24715494,0.83876157,0.774861,1.0,0.84068125,0.32729653
105,Gm13304,0.10972654,0.11929665,0.5849097,0.27131096,0.9098423,0.24685019,0.7027582,0.65908104,1.0,0.85576946,0.15597333
106,Slc16a7,0.20785345,0.50843924,0.06082359,0.25903878,0.95072925,0.24627574,0.60249245,0.53975314,1.0,0.8415911,0.35999897
107,Rps12,0.28144926,0.40808094,0.05903397,0.24952139,0.9865011,0.24615313,0.33477637,0.40716034,1.0,0.6085314,0.5494742
108,Gli3,0.513645,0.14054501,0.10338459,0.25252488,0.97331977,0.24578746,0.2759876,0.34577376,1.0,0.6101627,0.3359453
109,Brinp3,0.32486105,0.44683328,0.06584293,0.27917907,0.87937295,0.24550252,0.76382893,0.5803037,1.0,0.37946633,0.26733956
110,Cntnap5a,0.347818,0.41992527,0.010490031,0.2594111,0.94524395,0.24520677,0.68767846,0.59423405,1.0,0.65946,0.32633686
111,Tshz2,0.2126612,0.4289332,0.11741461,0.253003,0.9688556,0.24512339,0.46363685,0.45783073,1.0,0.81199193,0.3653393
112,Fzd7,0.0977122,0.62047565,0.058158573,0.25878215,0.9466593,0.24497853,0.36643937,0.40940878,1.0,0.83558035,0.22804564
113,Serpind1,0.40887383,0.22450058,0.19352326,0.27563253,0.8865858,0.24437188,0.6277735,0.56049407,1.0,0.8232351,0.05900639
114,Espl1,0.4317437,0.41567463,0.043974128,0.2971308,0.8215319,0.24410242,0.37000725,0.29128167,1.0,0.40451938,0.20020418
